Tested,Results,Files
flickr_air_2351479551_e8820a1ff3_3,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]","['2351479551_e8820a1ff3.jpg', '2971431335_e192613db4.jpg', '2689001252_e0016c89f0.jpg', '3203908917_53e53c03d1.jpg', '2100816230_ff866fb352.jpg', '1343426964_cde3fb54e8.jpg', '997722733_0cb5439472.jpg', '3741827382_71e93298d0.jpg', '2473689180_e9d8fd656a.jpg', '2764178773_d63b502812.jpg']"
flickr_air_2461616306_3ee7ac1b4b_0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2192131110_8a40e7c028.jpg', '300314926_0b2e4b64f5.jpg', '3258874419_23fec1bdc1.jpg', '172097782_f0844ec317.jpg', '2307118114_c258e3a47e.jpg', '2994179598_a45c2732b5.jpg', '2698666984_13e17236ae.jpg', '2924259848_effb4dcb82.jpg']"
flickr_air_2594902417_f65d8866a8_2,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","['1404832008_68e432665b.jpg', '2649406158_ded6be38de.jpg', '2192131110_8a40e7c028.jpg', '166507476_9be5b9852a.jpg', '2971431335_e192613db4.jpg', '300314926_0b2e4b64f5.jpg', '245895500_a4eb97af02.jpg', '2473689180_e9d8fd656a.jpg', '3258874419_23fec1bdc1.jpg', '3203908917_53e53c03d1.jpg']"
flickr_air_2646046871_c3a5dbb971_3,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","['2480850054_de3433b54a.jpg', '2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '1348304997_afe60a61df.jpg', '3558370311_5734a15890.jpg', '3325497914_f9014d615b.jpg', '3203908917_53e53c03d1.jpg', '300314926_0b2e4b64f5.jpg', '2610447973_89227ff978.jpg', '180506881_de0f59770f.jpg']"
flickr_air_2646046871_c3a5dbb971_4,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","['3325497914_f9014d615b.jpg', '3203908917_53e53c03d1.jpg', '2610447973_89227ff978.jpg', '2480850054_de3433b54a.jpg', '1404832008_68e432665b.jpg', '3459156091_c1879ebe28.jpg', '2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '2473689180_e9d8fd656a.jpg', '2944362789_aebbc22db4.jpg']"
flickr_air_2648165716_02e2e74fd6_2,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '3203908917_53e53c03d1.jpg', '3325497914_f9014d615b.jpg', '2480850054_de3433b54a.jpg', '3558370311_5734a15890.jpg', '3258874419_23fec1bdc1.jpg', '2944362789_aebbc22db4.jpg', '2473689180_e9d8fd656a.jpg', '2351479551_e8820a1ff3.jpg']"
flickr_air_2666179615_f05a9d8331_0,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]","['2971431335_e192613db4.jpg', '300314926_0b2e4b64f5.jpg', '2649406158_ded6be38de.jpg', '245895500_a4eb97af02.jpg', '1404832008_68e432665b.jpg', '997722733_0cb5439472.jpg', '2473791980_805c819bd4.jpg', '2473689180_e9d8fd656a.jpg', '2480850054_de3433b54a.jpg', '2351479551_e8820a1ff3.jpg']"
flickr_air_2666179615_f05a9d8331_0_1,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '2351479551_e8820a1ff3.jpg', '2306674172_dc07c7f847.jpg', '2518508760_68d8df7365.jpg', '2480850054_de3433b54a.jpg', '3258874419_23fec1bdc1.jpg', '3325497914_f9014d615b.jpg', '2610447973_89227ff978.jpg', '997722733_0cb5439472.jpg']"
flickr_air_2666179615_f05a9d8331_1,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","['2649406158_ded6be38de.jpg', '3325497914_f9014d615b.jpg', '3203908917_53e53c03d1.jpg', '2944362789_aebbc22db4.jpg', '2971431335_e192613db4.jpg', '2351479551_e8820a1ff3.jpg', '2480850054_de3433b54a.jpg', '2473689180_e9d8fd656a.jpg', '300314926_0b2e4b64f5.jpg', '766099402_cdda6964f0.jpg']"
flickr_air_2666179615_f05a9d8331_1_1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['3325497914_f9014d615b.jpg', '3203908917_53e53c03d1.jpg', '3459156091_c1879ebe28.jpg', '2944362789_aebbc22db4.jpg', '2351479551_e8820a1ff3.jpg', '2704934519_457dc38986.jpg', '3157847991_463e006a28.jpg', '1808370027_2088394eb4.jpg', '766099402_cdda6964f0.jpg', '2689001252_e0016c89f0.jpg']"
flickr_air_2682382530_f9f8fd1e89_2,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '2480850054_de3433b54a.jpg', '2351479551_e8820a1ff3.jpg', '1404832008_68e432665b.jpg', '300314926_0b2e4b64f5.jpg', '245895500_a4eb97af02.jpg', '997722733_0cb5439472.jpg', '2473689180_e9d8fd656a.jpg', '2610447973_89227ff978.jpg']"
flickr_air_2682382530_f9f8fd1e89_2_1,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['300314926_0b2e4b64f5.jpg', '2698666984_13e17236ae.jpg', '2473689180_e9d8fd656a.jpg', '2192131110_8a40e7c028.jpg', '3589367895_5d3729e3ea.jpg', '1404832008_68e432665b.jpg', '2208067635_39a03834ca.jpg', '2307118114_c258e3a47e.jpg', '172097782_f0844ec317.jpg', '2649406158_ded6be38de.jpg']"
flickr_air_2718024196_3ff660416a_0,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '2480850054_de3433b54a.jpg', '300314926_0b2e4b64f5.jpg', '3325497914_f9014d615b.jpg', '2914206497_5e36ac6324.jpg', '2306674172_dc07c7f847.jpg', '2518508760_68d8df7365.jpg', '3558370311_5734a15890.jpg', '997722733_0cb5439472.jpg']"
flickr_air_2718024196_3ff660416a_2,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['2649406158_ded6be38de.jpg', '2698666984_13e17236ae.jpg', '2518508760_68d8df7365.jpg', '300314926_0b2e4b64f5.jpg', '2192131110_8a40e7c028.jpg', '1404832008_68e432665b.jpg', '2682382530_f9f8fd1e89.jpg', '172097782_f0844ec317.jpg', '3258874419_23fec1bdc1.jpg', '2924259848_effb4dcb82.jpg']"
flickr_air_2731171552_4a808c7d5a_0,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]","['2649406158_ded6be38de.jpg', '2480850054_de3433b54a.jpg', '300314926_0b2e4b64f5.jpg', '3258874419_23fec1bdc1.jpg', '2682382530_f9f8fd1e89.jpg', '2971431335_e192613db4.jpg', '997722733_0cb5439472.jpg', '180506881_de0f59770f.jpg', '2994179598_a45c2732b5.jpg', '2351479551_e8820a1ff3.jpg']"
flickr_air_2731171552_4a808c7d5a_4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]","['3568197730_a071d7595b.jpg', '2192131110_8a40e7c028.jpg', '2518508760_68d8df7365.jpg', '2641770481_c98465ff35.jpg', '2351479551_e8820a1ff3.jpg', '3203908917_53e53c03d1.jpg', '1343426964_cde3fb54e8.jpg', '2473689180_e9d8fd656a.jpg', '1404832008_68e432665b.jpg', '2289068031_fe26990183.jpg']"
flickr_air_2764178773_d63b502812_4,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 1]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2971431335_e192613db4.jpg', '3258874419_23fec1bdc1.jpg', '300314926_0b2e4b64f5.jpg', '3348385580_10b53391f9.jpg', '2351479551_e8820a1ff3.jpg', '2192131110_8a40e7c028.jpg', '2480850054_de3433b54a.jpg', '2306674172_dc07c7f847.jpg']"
flickr_air_2813033949_e19fa08805_2,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['245895500_a4eb97af02.jpg', '3299820401_c2589186c5.jpg', '2649406158_ded6be38de.jpg', '2496370758_a3fbc49837.jpg', '241031254_0c6f30e3d1.jpg', '2924259848_effb4dcb82.jpg', '1404832008_68e432665b.jpg', '300314926_0b2e4b64f5.jpg', '2480850054_de3433b54a.jpg', '1356796100_b265479721.jpg']"
flickr_air_2854959952_3991a385ab_1,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['2351479551_e8820a1ff3.jpg', '2518508760_68d8df7365.jpg', '1348304997_afe60a61df.jpg', '2649406158_ded6be38de.jpg', '246055693_ccb69ac5c6.jpg', '2192131110_8a40e7c028.jpg', '2971431335_e192613db4.jpg', '3627011534_485f667b10.jpg', '2689001252_e0016c89f0.jpg', '3325497914_f9014d615b.jpg']"
flickr_air_2892995070_39f3c9a56e_2,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","['2518508760_68d8df7365.jpg', '2649406158_ded6be38de.jpg', '766099402_cdda6964f0.jpg', '2971431335_e192613db4.jpg', '3568197730_a071d7595b.jpg', '2351479551_e8820a1ff3.jpg', '2192131110_8a40e7c028.jpg', '2480850054_de3433b54a.jpg', '2928152792_b16c73434a.jpg', '2813992915_f732cf8539.jpg']"
flickr_air_2901880865_3fd7b66a45_0,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","['2649406158_ded6be38de.jpg', '2971431335_e192613db4.jpg', '2518508760_68d8df7365.jpg', '2868575889_2c030aa8ae.jpg', '300314926_0b2e4b64f5.jpg', '2682382530_f9f8fd1e89.jpg', '3258874419_23fec1bdc1.jpg', '2192131110_8a40e7c028.jpg', '2306674172_dc07c7f847.jpg', '2480850054_de3433b54a.jpg']"
flickr_air_2902269566_419d9f1d8e_0,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]","['2971431335_e192613db4.jpg', '2518508760_68d8df7365.jpg', '2480850054_de3433b54a.jpg', '3258874419_23fec1bdc1.jpg', '2649406158_ded6be38de.jpg', '2529116152_4331dabf50.jpg', '2100816230_ff866fb352.jpg', '245252561_4f20f1c89e.jpg', '2868575889_2c030aa8ae.jpg', '2306674172_dc07c7f847.jpg']"
flickr_air_2945036454_280fa5b29f_0,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '2192131110_8a40e7c028.jpg', '2971431335_e192613db4.jpg', '2473791980_805c819bd4.jpg', '2351479551_e8820a1ff3.jpg', '245895500_a4eb97af02.jpg', '3258874419_23fec1bdc1.jpg', '300314926_0b2e4b64f5.jpg', '3109704348_c6416244ce.jpg']"
flickr_air_2953015871_cae796b6e7_4,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]","['3203908917_53e53c03d1.jpg', '2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '3325497914_f9014d615b.jpg', '2971431335_e192613db4.jpg', '2914206497_5e36ac6324.jpg', '300314926_0b2e4b64f5.jpg', '2944362789_aebbc22db4.jpg', '766099402_cdda6964f0.jpg', '1404832008_68e432665b.jpg']"
flickr_air_2971431335_e192613db4_2,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","['2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '3258874419_23fec1bdc1.jpg', '2971431335_e192613db4.jpg', '2480850054_de3433b54a.jpg', '2994179598_a45c2732b5.jpg', '3348385580_10b53391f9.jpg', '2682382530_f9f8fd1e89.jpg', '300314926_0b2e4b64f5.jpg', '2868575889_2c030aa8ae.jpg']"
flickr_air_2971431335_e192613db4_4_1,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1]","['2649406158_ded6be38de.jpg', '2473689180_e9d8fd656a.jpg', '300314926_0b2e4b64f5.jpg', '3258874419_23fec1bdc1.jpg', '2518508760_68d8df7365.jpg', '2192131110_8a40e7c028.jpg', '997722733_0cb5439472.jpg', '172097782_f0844ec317.jpg', '2971431335_e192613db4.jpg', '2351479551_e8820a1ff3.jpg']"
flickr_air_300314926_0b2e4b64f5_0,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","['2971431335_e192613db4.jpg', '2351479551_e8820a1ff3.jpg', '2649406158_ded6be38de.jpg', '2306674172_dc07c7f847.jpg', '997722733_0cb5439472.jpg', '2944362789_aebbc22db4.jpg', '2480850054_de3433b54a.jpg', '3325497914_f9014d615b.jpg', '2610447973_89227ff978.jpg', '2518508760_68d8df7365.jpg']"
flickr_air_300314926_0b2e4b64f5_3,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1]","['2971431335_e192613db4.jpg', '2932740428_b15384f389.jpg', '3558370311_5734a15890.jpg', '2306674172_dc07c7f847.jpg', '2100816230_ff866fb352.jpg', '2649406158_ded6be38de.jpg', '2944362789_aebbc22db4.jpg', '3085667865_fa001816be.jpg', '2813992915_f732cf8539.jpg', '3225310099_d8e419ba56.jpg']"
flickr_air_300314926_0b2e4b64f5_4,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","['2971431335_e192613db4.jpg', '2480850054_de3433b54a.jpg', '2649406158_ded6be38de.jpg', '2518508760_68d8df7365.jpg', '180506881_de0f59770f.jpg', '3348385580_10b53391f9.jpg', '3258874419_23fec1bdc1.jpg', '2994179598_a45c2732b5.jpg', '2641770481_c98465ff35.jpg', '2306674172_dc07c7f847.jpg']"
flickr_air_3016606751_0e8be20abd_0,"[1, 0, 1, 0, 0, 1, 1, 1, 0, 1]","['2971431335_e192613db4.jpg', '3203908917_53e53c03d1.jpg', '2944362789_aebbc22db4.jpg', '2649406158_ded6be38de.jpg', '3325497914_f9014d615b.jpg', '3558370311_5734a15890.jpg', '2351479551_e8820a1ff3.jpg', '2306674172_dc07c7f847.jpg', '3258874419_23fec1bdc1.jpg', '2473689180_e9d8fd656a.jpg']"
flickr_air_3016606751_0e8be20abd_3,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]","['2351479551_e8820a1ff3.jpg', '3203908917_53e53c03d1.jpg', '3568197730_a071d7595b.jpg', '766099402_cdda6964f0.jpg', '2649406158_ded6be38de.jpg', '2473689180_e9d8fd656a.jpg', '2944362789_aebbc22db4.jpg', '2518508760_68d8df7365.jpg', '1343426964_cde3fb54e8.jpg', '180506881_de0f59770f.jpg']"
flickr_air_3024172109_a10198e1dd_2_1,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]","['2649406158_ded6be38de.jpg', '2971431335_e192613db4.jpg', '2480850054_de3433b54a.jpg', '2518508760_68d8df7365.jpg', '2473689180_e9d8fd656a.jpg', '300314926_0b2e4b64f5.jpg', '2307118114_c258e3a47e.jpg', '3258874419_23fec1bdc1.jpg', '2351479551_e8820a1ff3.jpg', '2192131110_8a40e7c028.jpg']"
flickr_air_3024172109_a10198e1dd_3,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['2971431335_e192613db4.jpg', '2649406158_ded6be38de.jpg', '3203908917_53e53c03d1.jpg', '3558370311_5734a15890.jpg', '3325497914_f9014d615b.jpg', '2610447973_89227ff978.jpg', '2944362789_aebbc22db4.jpg', '2480850054_de3433b54a.jpg', '3258874419_23fec1bdc1.jpg', '2518508760_68d8df7365.jpg']"
flickr_ball_1107246521_d16a476380_1,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '2885387575_9127ea10f1.jpg', '3490736665_38710f4b91.jpg', '2370481277_a3085614c9.jpg', '2450299735_62c095f40e.jpg', '3498997518_c2b16f0a0e.jpg', '2587818583_4aa8e7b174.jpg', '2160266952_a2ab39191b.jpg']"
flickr_ball_1402640441_81978e32a9_1,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","['3003691049_f4363c2d5c.jpg', '3393926562_66cc01b001.jpg', '3123463486_f5b36a3624.jpg', '2885387575_9127ea10f1.jpg', '1679617928_a73c1769be.jpg', '3459156091_c1879ebe28.jpg', '488408004_a1e26d4886.jpg', '3655964639_21e76383d0.jpg', '197504190_fd1fc3d4b7.jpg', '370614351_98b8a166b9.jpg']"
flickr_ball_1402640441_81978e32a9_2,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2885387575_9127ea10f1.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2089426086_7acc98a3a8.jpg', '3490736665_38710f4b91.jpg', '2251747182_6b67a3ab8b.jpg', '1096395242_fc69f0ae5a.jpg', '2224450291_4c133fabe8.jpg']"
flickr_ball_1402640441_81978e32a9_3,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '3490736665_38710f4b91.jpg', '2251747182_6b67a3ab8b.jpg', '3686924335_3c51e8834a.jpg', '1402640441_81978e32a9.jpg', '3456362961_d8f7e347a8.jpg', '1096395242_fc69f0ae5a.jpg', '2089426086_7acc98a3a8.jpg', '3218480482_66af7587c8.jpg']"
flickr_ball_1402640441_81978e32a9_4,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","['3677318686_b018862bb7.jpg', '3686924335_3c51e8834a.jpg', '3456362961_d8f7e347a8.jpg', '3433982387_3fa993cf5a.jpg', '2885387575_9127ea10f1.jpg', '3490736665_38710f4b91.jpg', '2089426086_7acc98a3a8.jpg', '3720366614_dfa8fe1088.jpg', '2587818583_4aa8e7b174.jpg', '197504190_fd1fc3d4b7.jpg']"
flickr_ball_1425069308_488e5fcf9d_0,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '3433982387_3fa993cf5a.jpg', '2160266952_a2ab39191b.jpg', '3490736665_38710f4b91.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '197504190_fd1fc3d4b7.jpg', '2089426086_7acc98a3a8.jpg', '1523984678_edd68464da.jpg']"
flickr_ball_1425069308_488e5fcf9d_1,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '2120383553_5825333a3f.jpg', '2885387575_9127ea10f1.jpg', '2343525685_3eba3b6686.jpg', '2706766641_a9df81969d.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '2224450291_4c133fabe8.jpg']"
flickr_ball_1425069308_488e5fcf9d_2,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '3490736665_38710f4b91.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '2251747182_6b67a3ab8b.jpg', '2089426086_7acc98a3a8.jpg', '3218480482_66af7587c8.jpg']"
flickr_ball_1425069308_488e5fcf9d_3,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","['2370481277_a3085614c9.jpg', '3429956016_3c7e3096c2.jpg', '3456362961_d8f7e347a8.jpg', '197504190_fd1fc3d4b7.jpg', '3208074567_ac44aeb3f3.jpg', '1356796100_b265479721.jpg', '1714316707_8bbaa2a2ba.jpg', '3677318686_b018862bb7.jpg', '3502343542_f9b46688e5.jpg', '2450299735_62c095f40e.jpg']"
flickr_ball_1425069308_488e5fcf9d_4,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1]","['3677318686_b018862bb7.jpg', '3490736665_38710f4b91.jpg', '2885387575_9127ea10f1.jpg', '2251747182_6b67a3ab8b.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '3433982387_3fa993cf5a.jpg', '2089426086_7acc98a3a8.jpg', '3456362961_d8f7e347a8.jpg', '3259666643_ae49524c81.jpg']"
flickr_ball_1523984678_edd68464da_0,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '3433982387_3fa993cf5a.jpg', '197504190_fd1fc3d4b7.jpg', '3490736665_38710f4b91.jpg', '3456362961_d8f7e347a8.jpg', '2089426086_7acc98a3a8.jpg', '2343525685_3eba3b6686.jpg']"
flickr_ball_1523984678_edd68464da_1,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '3433982387_3fa993cf5a.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '3490736665_38710f4b91.jpg', '2196107384_361d73a170.jpg', '197504190_fd1fc3d4b7.jpg', '3686924335_3c51e8834a.jpg', '2913965136_2d00136697.jpg']"
flickr_ball_1523984678_edd68464da_2,"[1, 0, 0, 1, 1, 1, 1, 0, 0, 1]","['3677318686_b018862bb7.jpg', '3490736665_38710f4b91.jpg', '2251747182_6b67a3ab8b.jpg', '2885387575_9127ea10f1.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '1096395242_fc69f0ae5a.jpg', '3433982387_3fa993cf5a.jpg', '3217620013_8b17873273.jpg']"
flickr_ball_1523984678_edd68464da_3,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '2608289957_044849f73e.jpg', '3433982387_3fa993cf5a.jpg', '2544426580_317b1f1f73.jpg', '2587818583_4aa8e7b174.jpg', '2543589122_ec3e55f434.jpg', '2885387575_9127ea10f1.jpg', '2450299735_62c095f40e.jpg', '2706766641_a9df81969d.jpg']"
flickr_ball_1523984678_edd68464da_4,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['2450299735_62c095f40e.jpg', '3456362961_d8f7e347a8.jpg', '3208074567_ac44aeb3f3.jpg', '3433982387_3fa993cf5a.jpg', '3677318686_b018862bb7.jpg', '180094434_b0f244832d.jpg', '1998457059_c9ac9a1e1a.jpg', '3325497914_f9014d615b.jpg', '2885387575_9127ea10f1.jpg', '2089426086_7acc98a3a8.jpg']"
flickr_ball_154871781_ae77696b77_0,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]","['3490736665_38710f4b91.jpg', '3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '1523984678_edd68464da.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3259666643_ae49524c81.jpg', '2933637854_984614e18b.jpg']"
flickr_ball_154871781_ae77696b77_1,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 1]","['3677318686_b018862bb7.jpg', '2885387575_9127ea10f1.jpg', '3490736665_38710f4b91.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3433982387_3fa993cf5a.jpg', '3259666643_ae49524c81.jpg', '2370481277_a3085614c9.jpg']"
