Tested,Results,Files
flickr_ball_1523984678_edd68464da_1,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '2196107384_361d73a170.jpg', '197504190_fd1fc3d4b7.jpg', '3686924335_3c51e8834a.jpg', '2913965136_2d00136697.jpg', '2370481277_a3085614c9.jpg', '2251747182_6b67a3ab8b.jpg']"
flickr_ball_1523984678_edd68464da_2,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]","['3677318686_b018862bb7.jpg', '2251747182_6b67a3ab8b.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '1096395242_fc69f0ae5a.jpg', '3433982387_3fa993cf5a.jpg', '3217620013_8b17873273.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg']"
flickr_ball_1523984678_edd68464da_3,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '2608289957_044849f73e.jpg', '3433982387_3fa993cf5a.jpg', '2544426580_317b1f1f73.jpg', '2587818583_4aa8e7b174.jpg', '2370481277_a3085614c9.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '1096395242_fc69f0ae5a.jpg']"
flickr_ball_1523984678_edd68464da_4,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","['3456362961_d8f7e347a8.jpg', '3208074567_ac44aeb3f3.jpg', '3433982387_3fa993cf5a.jpg', '3677318686_b018862bb7.jpg', '180094434_b0f244832d.jpg', '1998457059_c9ac9a1e1a.jpg', '2120383553_5825333a3f.jpg', '2089426086_7acc98a3a8.jpg', '2160266952_a2ab39191b.jpg', '3767841911_6678052eb6.jpg']"
flickr_ball_154871781_ae77696b77_0,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1]","['3677318686_b018862bb7.jpg', '1523984678_edd68464da.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3259666643_ae49524c81.jpg', '2933637854_984614e18b.jpg', '3433982387_3fa993cf5a.jpg', '2370481277_a3085614c9.jpg']"
flickr_ball_154871781_ae77696b77_1,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3433982387_3fa993cf5a.jpg', '3259666643_ae49524c81.jpg', '2370481277_a3085614c9.jpg', '2913965136_2d00136697.jpg', '3456362961_d8f7e347a8.jpg']"
flickr_ball_154871781_ae77696b77_3,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['2587818583_4aa8e7b174.jpg', '3456362961_d8f7e347a8.jpg', '3677318686_b018862bb7.jpg', '2608289957_044849f73e.jpg', '2544426580_317b1f1f73.jpg', '3767841911_6678052eb6.jpg', '2693425189_47740c22ed.jpg', '1258913059_07c613f7ff.jpg', '2501595799_6316001e89.jpg', '1998457059_c9ac9a1e1a.jpg']"
flickr_ball_1764955991_5e53a28c87_1,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","['3677318686_b018862bb7.jpg', '3433982387_3fa993cf5a.jpg', '3259666643_ae49524c81.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '2894217628_f1a4153dca.jpg', '3217620013_8b17873273.jpg', '3686924335_3c51e8834a.jpg', '2526041608_a9775ab8d7.jpg', '241346508_0b3907a95b.jpg']"
flickr_ball_1764955991_5e53a28c87_2,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '2343525685_3eba3b6686.jpg', '2089426086_7acc98a3a8.jpg', '3456362961_d8f7e347a8.jpg', '2949982320_c704b31626.jpg', '2913965136_2d00136697.jpg', '3433982387_3fa993cf5a.jpg', '2370481277_a3085614c9.jpg']"
flickr_ball_1764955991_5e53a28c87_4,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","['2239938351_43c73c887c.jpg', '1425069308_488e5fcf9d.jpg', '1897025969_0c41688fa6.jpg', '2410320522_d967f0b75c.jpg', '1764955991_5e53a28c87.jpg', '3720366614_dfa8fe1088.jpg', '2308271254_27fb466eb4.jpg', '2398605966_1d0c9e6a20.jpg', '2310126952_7dc86d88f6.jpg', '2495931537_9b8d4474b6.jpg']"
flickr_ball_1786425974_c7c5ad6aa1_4,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]","['3677318686_b018862bb7.jpg', '3686924335_3c51e8834a.jpg', '2089426086_7acc98a3a8.jpg', '197504190_fd1fc3d4b7.jpg', '3433982387_3fa993cf5a.jpg', '2343525685_3eba3b6686.jpg', '3456362961_d8f7e347a8.jpg', '1402640441_81978e32a9.jpg', '1714316707_8bbaa2a2ba.jpg', '2913965136_2d00136697.jpg']"
flickr_ball_197504190_fd1fc3d4b7_0,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2913965136_2d00136697.jpg', '3456362961_d8f7e347a8.jpg', '3433982387_3fa993cf5a.jpg', '2251747182_6b67a3ab8b.jpg', '3686924335_3c51e8834a.jpg', '3218480482_66af7587c8.jpg', '197504190_fd1fc3d4b7.jpg', '2370481277_a3085614c9.jpg']"
flickr_ball_197504190_fd1fc3d4b7_1,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '3433982387_3fa993cf5a.jpg', '2913965136_2d00136697.jpg', '2370481277_a3085614c9.jpg', '197504190_fd1fc3d4b7.jpg', '1523984678_edd68464da.jpg']"
flickr_ball_197504190_fd1fc3d4b7_2,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","['3456362961_d8f7e347a8.jpg', '3677318686_b018862bb7.jpg', '3208074567_ac44aeb3f3.jpg', '3767841911_6678052eb6.jpg', '2343525685_3eba3b6686.jpg', '3686924335_3c51e8834a.jpg', '2224450291_4c133fabe8.jpg', '2160266952_a2ab39191b.jpg', '1714316707_8bbaa2a2ba.jpg', '1402640441_81978e32a9.jpg']"
flickr_ball_197504190_fd1fc3d4b7_4,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '2913965136_2d00136697.jpg', '1096395242_fc69f0ae5a.jpg', '3433982387_3fa993cf5a.jpg', '2089426086_7acc98a3a8.jpg', '3217620013_8b17873273.jpg']"
flickr_ball_2160266952_a2ab39191b_0,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","['3498997518_c2b16f0a0e.jpg', '2587818583_4aa8e7b174.jpg', '3456362961_d8f7e347a8.jpg', '3433982387_3fa993cf5a.jpg', '2666205903_8d287669e1.jpg', '2453971388_76616b6a82.jpg', '2160266952_a2ab39191b.jpg', '3585598356_8ce815bbb9.jpg', '241346508_0b3907a95b.jpg', '3246991821_750a3097e2.jpg']"
flickr_ball_2239938351_43c73c887c_0,"[1, 1, 1, 0, 0, 0, 0, 0, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2913965136_2d00136697.jpg', '2089426086_7acc98a3a8.jpg', '3686924335_3c51e8834a.jpg', '2251747182_6b67a3ab8b.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '3259666643_ae49524c81.jpg', '3218480482_66af7587c8.jpg']"
flickr_ball_2239938351_43c73c887c_2,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '2913965136_2d00136697.jpg', '3259666643_ae49524c81.jpg', '3433982387_3fa993cf5a.jpg', '2933637854_984614e18b.jpg', '2089426086_7acc98a3a8.jpg', '1523984678_edd68464da.jpg']"
flickr_ball_2239938351_43c73c887c_3,"[1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '197504190_fd1fc3d4b7.jpg', '2089426086_7acc98a3a8.jpg', '3218480482_66af7587c8.jpg', '2370481277_a3085614c9.jpg', '3259666643_ae49524c81.jpg', '3360930596_1e75164ce6.jpg', '2343525685_3eba3b6686.jpg']"
flickr_ball_2239938351_43c73c887c_4,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '2251747182_6b67a3ab8b.jpg', '3456362961_d8f7e347a8.jpg', '2913965136_2d00136697.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '3686924335_3c51e8834a.jpg', '197504190_fd1fc3d4b7.jpg']"
flickr_ball_2370481277_a3085614c9_1,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3259666643_ae49524c81.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3433982387_3fa993cf5a.jpg', '1402640441_81978e32a9.jpg', '2089426086_7acc98a3a8.jpg', '2894217628_f1a4153dca.jpg', '3456362961_d8f7e347a8.jpg', '1096395242_fc69f0ae5a.jpg']"
flickr_ball_2370481277_a3085614c9_2,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '197504190_fd1fc3d4b7.jpg', '1523984678_edd68464da.jpg', '3433982387_3fa993cf5a.jpg', '2251747182_6b67a3ab8b.jpg', '2160266952_a2ab39191b.jpg', '2913965136_2d00136697.jpg', '2370481277_a3085614c9.jpg', '3456362961_d8f7e347a8.jpg']"
flickr_ball_2370481277_a3085614c9_4,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '2608289957_044849f73e.jpg', '2587818583_4aa8e7b174.jpg', '3433982387_3fa993cf5a.jpg', '2544426580_317b1f1f73.jpg', '2526041608_a9775ab8d7.jpg', '2693425189_47740c22ed.jpg', '3375549004_beee810e60.jpg', '1096395242_fc69f0ae5a.jpg']"
flickr_ball_2443380641_7b38d18f5b_0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3456362961_d8f7e347a8.jpg', '3429956016_3c7e3096c2.jpg', '3433982387_3fa993cf5a.jpg', '1714316707_8bbaa2a2ba.jpg', '3686924335_3c51e8834a.jpg', '3720366614_dfa8fe1088.jpg', '3208074567_ac44aeb3f3.jpg', '1339596997_8ac29c1841.jpg', '2608289957_044849f73e.jpg', '2943023421_e297f05e11.jpg']"
flickr_ball_2443380641_7b38d18f5b_0_1,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","['1402640441_81978e32a9.jpg', '3677318686_b018862bb7.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '2913965136_2d00136697.jpg', '197504190_fd1fc3d4b7.jpg', '2370481277_a3085614c9.jpg', '3360930596_1e75164ce6.jpg', '2089426086_7acc98a3a8.jpg']"
flickr_ball_2443380641_7b38d18f5b_4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '1714316707_8bbaa2a2ba.jpg', '2224450291_4c133fabe8.jpg', '3433982387_3fa993cf5a.jpg', '3429956016_3c7e3096c2.jpg', '2343525685_3eba3b6686.jpg', '3767841911_6678052eb6.jpg', '1356796100_b265479721.jpg']"
flickr_ball_2443380641_7b38d18f5b_4_1,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]","['1402640441_81978e32a9.jpg', '197504190_fd1fc3d4b7.jpg', '3578841731_f775cab089.jpg', '2370481277_a3085614c9.jpg', '3677318686_b018862bb7.jpg', '3686924335_3c51e8834a.jpg', '2913965136_2d00136697.jpg', '2089426086_7acc98a3a8.jpg', '2533424347_cf2f84872b.jpg', '3375549004_beee810e60.jpg']"
flickr_ball_2475162978_2c51048dca_0,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3433982387_3fa993cf5a.jpg', '3259666643_ae49524c81.jpg', '3686924335_3c51e8834a.jpg', '3217620013_8b17873273.jpg', '2913965136_2d00136697.jpg', '1096395242_fc69f0ae5a.jpg']"
flickr_ball_2475162978_2c51048dca_1,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]","['3677318686_b018862bb7.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '1096395242_fc69f0ae5a.jpg', '3456362961_d8f7e347a8.jpg', '3433982387_3fa993cf5a.jpg', '3259666643_ae49524c81.jpg', '1402640441_81978e32a9.jpg', '3375549004_beee810e60.jpg', '3686924335_3c51e8834a.jpg']"
flickr_ball_2475162978_2c51048dca_2,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '2251747182_6b67a3ab8b.jpg', '3218480482_66af7587c8.jpg', '3686924335_3c51e8834a.jpg', '1523984678_edd68464da.jpg', '3259666643_ae49524c81.jpg', '2913965136_2d00136697.jpg']"
flickr_ball_2502905671_c6039804ab_1,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","['2308271254_27fb466eb4.jpg', '3462454965_a481809cea.jpg', '1394368714_3bc7c19969.jpg', '2495931537_9b8d4474b6.jpg', '2239938351_43c73c887c.jpg', '1897025969_0c41688fa6.jpg', '2410320522_d967f0b75c.jpg', '1764955991_5e53a28c87.jpg', '3003691049_f4363c2d5c.jpg', '2206960564_325ed0c7ae.jpg']"
flickr_ball_2526041608_a9775ab8d7_4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3720366614_dfa8fe1088.jpg', '3208074567_ac44aeb3f3.jpg', '3429956016_3c7e3096c2.jpg', '1682079482_9a72fa57fa.jpg', '2398605966_1d0c9e6a20.jpg', '3079787482_0757e9d167.jpg', '2608289957_044849f73e.jpg', '3456362961_d8f7e347a8.jpg', '2140182410_8e2a06fbda.jpg', '1356796100_b265479721.jpg']"
flickr_ball_2526041608_a9775ab8d7_4_1,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '2370481277_a3085614c9.jpg', '2251747182_6b67a3ab8b.jpg', '2913965136_2d00136697.jpg', '3218480482_66af7587c8.jpg', '3456362961_d8f7e347a8.jpg', '197504190_fd1fc3d4b7.jpg', '3259666643_ae49524c81.jpg']"
flickr_ball_2587818583_4aa8e7b174_1,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3686924335_3c51e8834a.jpg', '3456362961_d8f7e347a8.jpg', '1523984678_edd68464da.jpg', '3433982387_3fa993cf5a.jpg', '2370481277_a3085614c9.jpg', '2913965136_2d00136697.jpg', '3218480482_66af7587c8.jpg', '197504190_fd1fc3d4b7.jpg']"
flickr_ball_2587818583_4aa8e7b174_2,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","['3677318686_b018862bb7.jpg', '1402640441_81978e32a9.jpg', '3433982387_3fa993cf5a.jpg', '3456362961_d8f7e347a8.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '2089426086_7acc98a3a8.jpg', '3259666643_ae49524c81.jpg', '2913965136_2d00136697.jpg', '2894217628_f1a4153dca.jpg']"
flickr_ball_2587818583_4aa8e7b174_3,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]","['3677318686_b018862bb7.jpg', '2251747182_6b67a3ab8b.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '3217620013_8b17873273.jpg', '2913965136_2d00136697.jpg', '3686924335_3c51e8834a.jpg', '1096395242_fc69f0ae5a.jpg', '3433982387_3fa993cf5a.jpg']"
flickr_ball_2587818583_4aa8e7b174_4,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '2608289957_044849f73e.jpg', '3686924335_3c51e8834a.jpg', '1523984678_edd68464da.jpg', '3375549004_beee810e60.jpg', '2933637854_984614e18b.jpg', '2544426580_317b1f1f73.jpg', '241347204_007d83e252.jpg', '2224450291_4c133fabe8.jpg']"
flickr_ball_2587818583_4aa8e7b174_4_1,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['3677318686_b018862bb7.jpg', '3456362961_d8f7e347a8.jpg', '3686924335_3c51e8834a.jpg', '1402640441_81978e32a9.jpg', '3218480482_66af7587c8.jpg', '2608289957_044849f73e.jpg', '2120383553_5825333a3f.jpg', '3720366614_dfa8fe1088.jpg', '2251747182_6b67a3ab8b.jpg', '3433982387_3fa993cf5a.jpg']"
flickr_ball_2648165716_02e2e74fd6_2,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 1]","['2894217628_f1a4153dca.jpg', '241346508_0b3907a95b.jpg', '241347204_007d83e252.jpg', '3677318686_b018862bb7.jpg', '2370481277_a3085614c9.jpg', '3218480482_66af7587c8.jpg', '2526041608_a9775ab8d7.jpg', '3498997518_c2b16f0a0e.jpg', '241347760_d44c8d3a01.jpg', '3259666643_ae49524c81.jpg']"
flickr_basketball_2021613437_d99731f986_1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['3222055946_45f7293bb2.jpg', '3259666643_ae49524c81.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3218480482_66af7587c8.jpg', '2271755053_e1b1ec8442.jpg', '3053743109_a2d780c0d2.jpg', '3072172967_630e9c69d0.jpg', '3154641421_d1b9b8c24c.jpg', '2021613437_d99731f986.jpg']"
flickr_basketball_2021613437_d99731f986_3,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","['3259666643_ae49524c81.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3222055946_45f7293bb2.jpg', '3217620013_8b17873273.jpg', '3234115903_f4dfc8fc75.jpg', '3154641421_d1b9b8c24c.jpg', '3072172967_630e9c69d0.jpg', '2926595608_69b22be8d4.jpg', '2271755053_e1b1ec8442.jpg']"
flickr_basketball_2021613437_d99731f986_3_1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['3259666643_ae49524c81.jpg', '2251747182_6b67a3ab8b.jpg', '3222055946_45f7293bb2.jpg', '3218480482_66af7587c8.jpg', '3154641421_d1b9b8c24c.jpg', '3217620013_8b17873273.jpg', '2271755053_e1b1ec8442.jpg', '2926595608_69b22be8d4.jpg', '3072172967_630e9c69d0.jpg', '2021613437_d99731f986.jpg']"
flickr_basketball_2251747182_6b67a3ab8b_0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '3217620013_8b17873273.jpg', '2251747182_6b67a3ab8b.jpg', '3222055946_45f7293bb2.jpg', '3154641421_d1b9b8c24c.jpg', '2926595608_69b22be8d4.jpg', '2271755053_e1b1ec8442.jpg', '3155451946_c0862c70cb.jpg', '3234115903_f4dfc8fc75.jpg']"
flickr_basketball_2251747182_6b67a3ab8b_1,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1]","['3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3259666643_ae49524c81.jpg', '3217620013_8b17873273.jpg', '3222055946_45f7293bb2.jpg', '2271755053_e1b1ec8442.jpg', '3234115903_f4dfc8fc75.jpg', '3154641421_d1b9b8c24c.jpg', '1096395242_fc69f0ae5a.jpg', '3155451946_c0862c70cb.jpg']"
flickr_basketball_2251747182_6b67a3ab8b_2,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","['3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3222055946_45f7293bb2.jpg', '2271755053_e1b1ec8442.jpg', '3154641421_d1b9b8c24c.jpg', '3072172967_630e9c69d0.jpg', '2926595608_69b22be8d4.jpg', '3234115903_f4dfc8fc75.jpg']"
flickr_basketball_2251747182_6b67a3ab8b_3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['3259666643_ae49524c81.jpg', '3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3222055946_45f7293bb2.jpg', '3154641421_d1b9b8c24c.jpg', '2271755053_e1b1ec8442.jpg', '3155451946_c0862c70cb.jpg', '3072172967_630e9c69d0.jpg', '2021613437_d99731f986.jpg']"
flickr_basketball_2271755053_e1b1ec8442_0,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","['3218480482_66af7587c8.jpg', '2251747182_6b67a3ab8b.jpg', '3259666643_ae49524c81.jpg', '3222055946_45f7293bb2.jpg', '3217620013_8b17873273.jpg', '3154641421_d1b9b8c24c.jpg', '2271755053_e1b1ec8442.jpg', '3234115903_f4dfc8fc75.jpg', '2021613437_d99731f986.jpg', '2926595608_69b22be8d4.jpg']"
flickr_basketball_2271755053_e1b1ec8442_0_1,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","['3218480482_66af7587c8.jpg', '3259666643_ae49524c81.jpg', '2251747182_6b67a3ab8b.jpg', '3217620013_8b17873273.jpg', '3222055946_45f7293bb2.jpg', '3154641421_d1b9b8c24c.jpg', '2271755053_e1b1ec8442.jpg', '3234115903_f4dfc8fc75.jpg', '3155451946_c0862c70cb.jpg', '2926595608_69b22be8d4.jpg']"
