WordInstance,OriginalWord,MfccLength,WordAvgMfccLength,Precision@10,NofPhonemes,WordLength,NofVowels,NofConsonants,inimagenet,SpeakingSpeed
air_2648165716_02e2e74fd6_2,air,31.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06451612903225806
air_2666179615_f05a9d8331_0,air,32.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.0625
air_2666179615_f05a9d8331_0,air,26.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.07692307692307693
air_2666179615_f05a9d8331_1,air,30.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06666666666666667
air_2666179615_f05a9d8331_1,air,38.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05263157894736842
air_2682382530_f9f8fd1e89_2,air,21.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.09523809523809523
air_2682382530_f9f8fd1e89_2,air,37.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05405405405405406
air_2718024196_3ff660416a_0,air,37.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05405405405405406
air_2718024196_3ff660416a_2,air,26.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.07692307692307693
air_2731171552_4a808c7d5a_0,air,21.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.09523809523809523
air_2731171552_4a808c7d5a_4,air,46.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.043478260869565216
air_2764178773_d63b502812_4,air,29.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06896551724137931
air_2813033949_e19fa08805_2,air,21.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.09523809523809523
air_2854959952_3991a385ab_1,air,54.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.037037037037037035
air_2892995070_39f3c9a56e_2,air,25.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08
air_2901880865_3fd7b66a45_0,air,31.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06451612903225806
air_2902269566_419d9f1d8e_0,air,42.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.047619047619047616
air_2945036454_280fa5b29f_0,air,32.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.0625
air_2953015871_cae796b6e7_4,air,28.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.07142857142857142
air_2971431335_e192613db4_2,air,23.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08695652173913043
air_2971431335_e192613db4_4,air,33.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.06060606060606061
air_300314926_0b2e4b64f5_0,air,20.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.1
air_300314926_0b2e4b64f5_3,air,36.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.05555555555555555
air_300314926_0b2e4b64f5_4,air,14.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.14285714285714285
air_3016606751_0e8be20abd_0,air,22.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.09090909090909091
air_3016606751_0e8be20abd_3,air,23.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08695652173913043
air_3024172109_a10198e1dd_2,air,25.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08
air_3024172109_a10198e1dd_3,air,23.0,29.627906976744185,,2.0,6.0,2.0,1.0,0.0,0.08695652173913043
ball_1107246521_d16a476380_1,ball,28.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.10714285714285714
ball_1402640441_81978e32a9_1,ball,31.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.0967741935483871
ball_1402640441_81978e32a9_2,ball,37.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08108108108108109
ball_1402640441_81978e32a9_3,ball,28.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.10714285714285714
ball_1402640441_81978e32a9_4,ball,33.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09090909090909091
ball_1425069308_488e5fcf9d_0,ball,35.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08571428571428572
ball_1425069308_488e5fcf9d_1,ball,49.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.061224489795918366
ball_1425069308_488e5fcf9d_2,ball,41.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07317073170731707
ball_1425069308_488e5fcf9d_3,ball,38.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07894736842105263
ball_1425069308_488e5fcf9d_4,ball,37.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08108108108108109
ball_1523984678_edd68464da_0,ball,44.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06818181818181818
ball_1523984678_edd68464da_1,ball,26.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.11538461538461539
ball_1523984678_edd68464da_2,ball,42.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07142857142857142
ball_1523984678_edd68464da_3,ball,45.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06666666666666667
ball_1523984678_edd68464da_4,ball,33.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09090909090909091
ball_154871781_ae77696b77_0,ball,52.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.057692307692307696
ball_154871781_ae77696b77_1,ball,36.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08333333333333333
ball_154871781_ae77696b77_3,ball,31.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.0967741935483871
ball_1764955991_5e53a28c87_1,ball,42.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07142857142857142
ball_1764955991_5e53a28c87_2,ball,24.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.125
ball_1764955991_5e53a28c87_4,ball,47.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06382978723404255
ball_1786425974_c7c5ad6aa1_4,ball,41.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07317073170731707
ball_197504190_fd1fc3d4b7_0,ball,41.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07317073170731707
ball_197504190_fd1fc3d4b7_1,ball,31.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.0967741935483871
ball_197504190_fd1fc3d4b7_2,ball,32.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09375
ball_197504190_fd1fc3d4b7_4,ball,33.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09090909090909091
ball_2160266952_a2ab39191b_0,ball,43.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06976744186046512
ball_2239938351_43c73c887c_0,ball,54.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.05555555555555555
ball_2239938351_43c73c887c_2,ball,49.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.061224489795918366
ball_2239938351_43c73c887c_3,ball,30.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.1
ball_2239938351_43c73c887c_4,ball,55.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.05454545454545454
ball_2370481277_a3085614c9_1,ball,30.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.1
ball_2370481277_a3085614c9_2,ball,23.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.13043478260869565
ball_2370481277_a3085614c9_4,ball,27.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.1111111111111111
ball_2443380641_7b38d18f5b_0,ball,20.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.15
ball_2443380641_7b38d18f5b_0,ball,24.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.125
ball_2443380641_7b38d18f5b_4,ball,34.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08823529411764706
ball_2443380641_7b38d18f5b_4,ball,27.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.1111111111111111
ball_2475162978_2c51048dca_0,ball,32.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09375
ball_2475162978_2c51048dca_1,ball,45.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06666666666666667
ball_2475162978_2c51048dca_2,ball,45.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.06666666666666667
ball_2502905671_c6039804ab_1,ball,33.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09090909090909091
ball_2526041608_a9775ab8d7_4,ball,20.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.15
ball_2526041608_a9775ab8d7_4,ball,37.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08108108108108109
ball_2587818583_4aa8e7b174_1,ball,34.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.08823529411764706
ball_2587818583_4aa8e7b174_2,ball,32.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09375
ball_2587818583_4aa8e7b174_3,ball,32.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09375
ball_2587818583_4aa8e7b174_4,ball,33.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.09090909090909091
ball_2587818583_4aa8e7b174_4,ball,41.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.07317073170731707
ball_2648165716_02e2e74fd6_2,ball,21.0,35.56,,3.0,6.0,1.0,3.0,0.0,0.14285714285714285
basketball_2021613437_d99731f986_1,basketball,74.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.12162162162162163
basketball_2021613437_d99731f986_3,basketball,72.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.125
basketball_2021613437_d99731f986_3,basketball,67.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13432835820895522
basketball_2251747182_6b67a3ab8b_0,basketball,78.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.11538461538461539
basketball_2251747182_6b67a3ab8b_1,basketball,68.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1323529411764706
basketball_2251747182_6b67a3ab8b_2,basketball,59.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15254237288135594
basketball_2251747182_6b67a3ab8b_3,basketball,59.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15254237288135594
basketball_2271755053_e1b1ec8442_0,basketball,73.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1232876712328767
basketball_2271755053_e1b1ec8442_0,basketball,71.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1267605633802817
basketball_2271755053_e1b1ec8442_1,basketball,82.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.10975609756097561
basketball_2271755053_e1b1ec8442_2,basketball,78.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.11538461538461539
basketball_2271755053_e1b1ec8442_3,basketball,76.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.11842105263157894
basketball_2271755053_e1b1ec8442_4,basketball,65.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13846153846153847
basketball_2926595608_69b22be8d4_0,basketball,64.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.140625
basketball_2926595608_69b22be8d4_2,basketball,66.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13636363636363635
basketball_2926595608_69b22be8d4_3,basketball,67.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13432835820895522
basketball_2926595608_69b22be8d4_4,basketball,64.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.140625
basketball_2994179598_a45c2732b5_0,basketball,61.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.14754098360655737
basketball_2994179598_a45c2732b5_2,basketball,65.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13846153846153847
basketball_2994179598_a45c2732b5_4,basketball,72.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.125
basketball_3053743109_a2d780c0d2_0,basketball,80.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1125
basketball_3053743109_a2d780c0d2_1,basketball,71.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1267605633802817
basketball_3053743109_a2d780c0d2_2,basketball,52.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.17307692307692307
basketball_3053743109_a2d780c0d2_4,basketball,71.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1267605633802817
basketball_3072172967_630e9c69d0_1,basketball,76.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.11842105263157894
basketball_3072172967_630e9c69d0_2,basketball,59.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15254237288135594
basketball_3072172967_630e9c69d0_3,basketball,60.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15
basketball_3072172967_630e9c69d0_4,basketball,48.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1875
basketball_3154641421_d1b9b8c24c_0,basketball,73.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1232876712328767
basketball_3154641421_d1b9b8c24c_1,basketball,80.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1125
basketball_3154641421_d1b9b8c24c_2,basketball,73.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1232876712328767
basketball_3154641421_d1b9b8c24c_4,basketball,60.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15
basketball_3155451946_c0862c70cb_0,basketball,62.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.14516129032258066
basketball_3155451946_c0862c70cb_1,basketball,43.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.20930232558139536
basketball_3155451946_c0862c70cb_2,basketball,69.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13043478260869565
basketball_3155451946_c0862c70cb_3,basketball,83.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.10843373493975904
basketball_3155451946_c0862c70cb_4,basketball,70.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.12857142857142856
basketball_3217620013_8b17873273_0,basketball,67.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.13432835820895522
basketball_3217620013_8b17873273_1,basketball,60.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15
basketball_3217620013_8b17873273_3,basketball,68.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.1323529411764706
basketball_3217620013_8b17873273_4,basketball,70.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.12857142857142856
basketball_3218480482_66af7587c8_0,basketball,56.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.16071428571428573
basketball_3218480482_66af7587c8_1,basketball,53.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.16981132075471697
basketball_3218480482_66af7587c8_2,basketball,54.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.16666666666666666
basketball_3218480482_66af7587c8_3,basketball,53.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.16981132075471697
basketball_3218480482_66af7587c8_3,basketball,53.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.16981132075471697
basketball_3218480482_66af7587c8_4,basketball,99.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.09090909090909091
basketball_3222055946_45f7293bb2_0,basketball,70.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.12857142857142856
basketball_3222055946_45f7293bb2_1,basketball,58.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.15517241379310345
basketball_3222055946_45f7293bb2_3,basketball,72.0,66.88,,9.0,3.0,3.0,7.0,1.0,0.125
bench_1258913059_07c613f7ff_1,bench,29.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.13793103448275862
bench_2301525531_edde12d673_2,bench,74.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.05405405405405406
bench_2435685480_a79d42e564_0,bench,44.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09090909090909091
bench_2498897831_0bbb5d5b51_0,bench,67.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.05970149253731343
bench_2498897831_0bbb5d5b51_1,bench,44.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09090909090909091
bench_2498897831_0bbb5d5b51_3,bench,45.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.08888888888888889
bench_2707873672_15e6b5d54b_3,bench,46.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.08695652173913043
bench_3106026005_473a7b1c8c_0,bench,18.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.2222222222222222
bench_3106026005_473a7b1c8c_1,bench,57.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.07017543859649122
bench_3106026005_473a7b1c8c_2,bench,42.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09523809523809523
bench_3106026005_473a7b1c8c_3,bench,68.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.058823529411764705
bench_3106026005_473a7b1c8c_4,bench,43.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09302325581395349
bench_3187395715_f2940c2b72_0,bench,54.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.07407407407407407
bench_3187395715_f2940c2b72_3,bench,47.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.0851063829787234
bench_3187395715_f2940c2b72_4,bench,59.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.06779661016949153
bench_324208502_674488bcea_0,bench,37.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.10810810810810811
bench_324208502_674488bcea_1,bench,50.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.08
bench_324208502_674488bcea_2,bench,34.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.11764705882352941
bench_324208502_674488bcea_3,bench,51.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.0784313725490196
bench_324208502_674488bcea_4,bench,33.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.12121212121212122
bench_3471841031_a949645ba8_1,bench,39.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.10256410256410256
bench_3471841031_a949645ba8_3,bench,46.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.08695652173913043
bench_3597326009_3678a98a43_4,bench,54.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.07407407407407407
bench_3708177171_529bb4ff1d_3,bench,36.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.1111111111111111
bench_373394550_1b2296b8c4_1,bench,64.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.0625
bench_532457586_bddfc5251d_0,bench,67.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.05970149253731343
bench_532457586_bddfc5251d_2,bench,38.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.10526315789473684
bench_532457586_bddfc5251d_3,bench,55.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.07272727272727272
bench_532457586_bddfc5251d_4,bench,43.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09302325581395349
bench_561940436_64d6fc125d_0,bench,66.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.06060606060606061
bench_561940436_64d6fc125d_1,bench,63.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.06349206349206349
bench_561940436_64d6fc125d_2,bench,66.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.06060606060606061
bench_561940436_64d6fc125d_4,bench,44.0,49.18181818181818,,4.0,5.0,1.0,4.0,0.0,0.09090909090909091
bike_1262583859_653f1469a9_3,bike,29.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.10344827586206896
bike_1262583859_653f1469a9_4,bike,40.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.075
bike_136552115_6dc3e7231c_2,bike,32.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.09375
bike_136552115_6dc3e7231c_2,bike,35.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.08571428571428572
bike_136552115_6dc3e7231c_3,bike,18.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.16666666666666666
bike_136552115_6dc3e7231c_4,bike,30.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.1
bike_150387174_24825cf871_1,bike,43.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06976744186046512
bike_150387174_24825cf871_2,bike,39.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07692307692307693
bike_2073964624_52da3a0fc4_2,bike,24.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.125
bike_2073964624_52da3a0fc4_3,bike,64.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.046875
bike_2073964624_52da3a0fc4_4,bike,33.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.09090909090909091
bike_2075321027_c8fcbaf581_2,bike,43.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06976744186046512
bike_2084217208_7bd9bc85e5_0,bike,42.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07142857142857142
bike_2084217208_7bd9bc85e5_2,bike,42.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07142857142857142
bike_2084217208_7bd9bc85e5_3,bike,62.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.04838709677419355
bike_2084217208_7bd9bc85e5_4,bike,60.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.05
bike_219070971_ae43410b9e_1,bike,31.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.0967741935483871
bike_219070971_ae43410b9e_3,bike,48.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.0625
bike_219070971_ae43410b9e_4,bike,32.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.09375
bike_2358561039_e215a8d6cd_3,bike,34.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.08823529411764706
bike_2544182005_3aa1332bf9_0,bike,46.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06521739130434782
bike_2544182005_3aa1332bf9_1,bike,52.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.057692307692307696
bike_2544182005_3aa1332bf9_2,bike,45.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06666666666666667
bike_2544182005_3aa1332bf9_3,bike,27.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.1111111111111111
bike_2544182005_3aa1332bf9_4,bike,28.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.10714285714285714
bike_2544182005_3aa1332bf9_4,bike,45.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06666666666666667
bike_2577972703_a22c5f2a87_3,bike,37.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.08108108108108109
bike_2581066814_179d28f306_1,bike,39.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07692307692307693
bike_2764178773_d63b502812_0,bike,31.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.0967741935483871
bike_2813992915_f732cf8539_1,bike,47.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06382978723404255
bike_2813992915_f732cf8539_2,bike,38.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07894736842105263
bike_2866254827_9a8f592017_1,bike,29.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.10344827586206896
bike_2891617125_f939f604c7_0,bike,22.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.13636363636363635
bike_2891617125_f939f604c7_2,bike,27.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.1111111111111111
bike_2891617125_f939f604c7_3,bike,35.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.08571428571428572
bike_2891617125_f939f604c7_4,bike,48.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.0625
bike_2902269566_419d9f1d8e_2,bike,38.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07894736842105263
bike_2924259848_effb4dcb82_1,bike,29.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.10344827586206896
bike_2924259848_effb4dcb82_3,bike,21.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.14285714285714285
bike_2949982320_c704b31626_3,bike,43.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.06976744186046512
bike_3072114570_e1c0127529_1,bike,17.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.17647058823529413
bike_3072114570_e1c0127529_3,bike,27.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.1111111111111111
bike_3072114570_e1c0127529_4,bike,42.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.07142857142857142
bike_3192069971_83c5a90b4c_0,bike,16.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.1875
bike_3192069971_83c5a90b4c_2,bike,33.0,36.51111111111111,,3.0,5.0,2.0,2.0,0.0,0.09090909090909091
boy_106490881_5a2dd9b7bd_0,boy,54.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.037037037037037035
boy_106490881_5a2dd9b7bd_1,boy,37.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.05405405405405406
boy_106490881_5a2dd9b7bd_2,boy,34.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.058823529411764705
boy_106490881_5a2dd9b7bd_4,boy,31.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.06451612903225806
boy_1096395242_fc69f0ae5a_0,boy,42.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.047619047619047616
boy_1096395242_fc69f0ae5a_1,boy,30.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.06666666666666667
boy_1096395242_fc69f0ae5a_2,boy,26.0,32.95348837209303,,2.0,5.0,1.0,2.0,0.0,0.07692307692307693
